id,imgurl,url2,name,infor,Redirection,time,yuanjia,xianjia
1,images/staff_hbb.png,images/staff_dec.png,Up Down Open Coseide Leather Case with,Louis vuitton Monogram Canvas speedy 30 M41526,wholesale,1999/1/4,229,259
2,images/staff_hbb.png,images/staff_dec.png,Up Down Open Coseide Leather Case with,Louis vuitton Monogram Canvas speedy 30 M41527,wholesale,1999/1/5,229,259
3,images/staff_hbb.png,images/staff_dec.png,Up Down Open Coseide Leather Case with,Louis vuitton Monogram Canvas speedy 30 M41528,wholesale,1999/1/6,229,259
4,images/staff_hbb.png,images/staff_dec.png,Up Down Open Coseide Leather Case with,Louis vuitton Monogram Canvas speedy 30 M41529,wholesale,1999/1/7,229,259
5,images/staff_hbb.png,images/staff_dec.png,Up Down Open Coseide Leather Case with,Louis vuitton Monogram Canvas speedy 30 M41530,wholesale,1999/1/8,229,259
6,images/staff_hbb.png,images/staff_dec.png,Up Down Open Coseide Leather Case with,Louis vuitton Monogram Canvas speedy 30 M41531,wholesale,1999/1/9,229,259
7,images/staff_hbb.png,images/staff_dec.png,Up Down Open Coseide Leather Case with,Louis vuitton Monogram Canvas speedy 30 M41532,wholesale,1999/1/10,229,259
8,images/staff_hbb.png,images/staff_dec.png,Up Down Open Coseide Leather Case with,Louis vuitton Monogram Canvas speedy 30 M41533,wholesale,1999/1/11,229,259
9,images/staff_hbb.png,images/staff_dec.png,Up Down Open Coseide Leather Case with,Louis vuitton Monogram Canvas speedy 30 M41534,wholesale,1999/1/12,229,259
10,images/staff_hbb.png,images/staff_dec.png,Up Down Open Coseide Leather Case with,Louis vuitton Monogram Canvas speedy 30 M41535,wholesale,1999/1/13,229,259
11,images/staff_hbb.png,images/staff_dec.png,Up Down Open Coseide Leather Case with,Louis vuitton Monogram Canvas speedy 30 M41536,wholesale,1999/1/14,229,259
12,images/staff_hbb.png,images/staff_dec.png,Up Down Open Coseide Leather Case with,Louis vuitton Monogram Canvas speedy 30 M41537,wholesale,1999/1/15,229,259
13,images/staff_hbb.png,images/staff_dec.png,Up Down Open Coseide Leather Case with,Louis vuitton Monogram Canvas speedy 30 M41538,wholesale,1999/1/16,229,259
14,images/staff_hbb.png,images/staff_dec.png,Up Down Open Coseide Leather Case with,Louis vuitton Monogram Canvas speedy 30 M41539,wholesale,1999/1/17,229,259
15,images/staff_hbb.png,images/staff_dec.png,Up Down Open Coseide Leather Case with,Louis vuitton Monogram Canvas speedy 30 M41540,wholesale,1999/1/18,229,259
16,images/staff_hbb.png,images/staff_dec.png,Up Down Open Coseide Leather Case with,Louis vuitton Monogram Canvas speedy 30 M41541,wholesale,1999/1/19,229,259
